cluster,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,carrier,,,,,,,,,,,,,,,,,,,
Link,coal,-110691502.77886,-72883763.12929,-60053664.85809,-57314567.83337,-65536608.84514,-46691661.25984,-5557022.35092,-3481357.4712,-3026165.85161,-3294161.91832,-3328797.85895,-3473895.4646,-4693603.79287,-5745504.67948,-5816660.51231,-5384377.39462,-4870027.3388,-4841319.28955,-5089295.44959
Link,coal for industry,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474,56197217.08474
Link,electricity distribution grid,-125225133.53113,-122122737.79374,-120554549.66532,-117543954.91314,-115434719.84703,-114984440.41661,-113848943.73731,-111227930.18359,-109343831.61685,-108762899.97305,-107904558.10097,-107369690.89081,-106987047.05296,-106693546.72575,-106493614.41383,-106401243.47221,-106354540.66747,-106365478.58136,-106252771.88318
Link,gas DRI,-69.96768,-98.33212,-99.16251,-150.14585,-253.08647,-227.87609,-258.93199,-305.27125,-324.50006,-377.31038,-369.05149,-369.61125,-509.34372,-530.20678,-775.16283,-769.83801,-878.78904,-1543.32961,-2574.76868
Link,gas for industry,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095,22061271.12095
Link,gas pipeline,-1311040.86537,-504437.57733,-583835.41285,-771995.13699,-872511.38833,-909274.62805,-1187889.0482,-1382422.4895,-1618366.01276,-1756164.93195,-1910593.8399,-2186843.89079,-2483513.34771,-2764124.88664,-2747010.52933,-2871201.64265,-3381343.67021,-3732770.76382,-4141617.65761
Link,heat100-200 industry electric boiler steam,-15.60809,-21.22065,-17.45403,-23.75206,-33.38337,-25.24018,-22.70648,-27.76154,-23.86867,-27.46759,-23.30951,-23.6683,-26.67357,-19.68865,-30.14726,-20.8923,-23.92966,-31.77881,-35.15143
Link,heat100-200 industry gas,29.40786,82.92723,120.31296,280.45962,507.0845,477.19794,485.49471,702.63788,683.53504,723.58824,4549.6703,89404.06178,220534.31907,306193.25796,4343761.03308,17777455.93824,31518783.72775,50087450.30949,52485565.92117
Link,heat100-200 industry industrial heat pump high temperature,251528534.13391,251700174.73445,250994579.41652,249717968.02519,248294672.49388,248063358.51698,247040569.35228,244240098.91008,241975245.35862,238253148.66113,236982405.68498,234792515.07114,237337431.27471,248771584.50119,229927021.89652,169745489.69613,102641817.99253,11961684.54277,253283.88898
Link,heat100-200 industry solid biomass,-927319.7288,-895640.43005,-1025402.2032,-1259932.14988,-1521334.47742,-1563996.83916,-1752096.84062,-2266807.35428,-2683347.01896,-3367708.45609,-3597995.51573,-3924482.25473,-3338716.26074,-1159299.53855,-998692.46556,-1907.66499,-1602.91682,-1676.94659,-1142.09898
