component,carrier,location,bus_carrier,0
Generator,industry wood,HR0 0,solid biomass,2085214.6804
Generator,industry wood,HU0 0,solid biomass,3456948.55661
Generator,industry wood,IE3 0,solid biomass,1332304.17482
Generator,industry wood,IT0 0,solid biomass,3319061.64552
Generator,industry wood,IT0 1,solid biomass,6114302.21277
Generator,industry wood,IT4 0,solid biomass,135100.31854
Generator,industry wood,LT0 0,solid biomass,2769588.01834
Generator,industry wood,LU0 0,solid biomass,275171.94599
Generator,industry wood,LV0 0,solid biomass,5480829.69381
Generator,industry wood,ME0 0,solid biomass,227754.08246
Generator,industry wood,MK0 0,solid biomass,631762.38199
Generator,industry wood,NL0 0,solid biomass,453298.23245
Generator,industry wood,NO1 0,solid biomass,6133912.39476
Generator,industry wood,PL0 0,solid biomass,15586187.45475
Generator,industry wood,PT0 0,solid biomass,3424705.49946
Generator,industry wood,RO0 0,solid biomass,10157939.23634
Generator,industry wood,RS0 0,solid biomass,2028168.94602
Generator,industry wood,SE1 0,solid biomass,28455525.59111
Generator,industry wood,SI0 0,solid biomass,3120318.87611
Generator,industry wood,SK0 0,solid biomass,3153132.36877
Generator,industry wood,XK0 0,solid biomass,201946.48185
Generator,landscape care,AL0 0,solid biomass,73.99922
Generator,landscape care,AT0 0,solid biomass,424784.44068
Generator,landscape care,BA0 0,solid biomass,161.27796
Generator,landscape care,BE0 0,solid biomass,525076.99643
Generator,landscape care,BG0 0,solid biomass,463921.58624
Generator,landscape care,CH0 0,solid biomass,1683.34596
Generator,landscape care,CZ0 0,solid biomass,964214.56059
Generator,landscape care,DE0 0,solid biomass,312739.63507
Generator,landscape care,DE0 1,solid biomass,244469.05321
Generator,landscape care,DE0 2,solid biomass,244462.24007
Generator,landscape care,DE0 3,solid biomass,342542.82215
Generator,landscape care,DE0 4,solid biomass,337609.26264
Generator,landscape care,DE0 5,solid biomass,336036.12212
Generator,landscape care,DK0 0,solid biomass,201104.03146
Generator,landscape care,DK1 0,solid biomass,66023.15845
Generator,landscape care,EE0 0,solid biomass,198736.31609
Generator,landscape care,ES0 0,solid biomass,2307129.37972
Generator,landscape care,ES6 0,solid biomass,18133.84543
Generator,landscape care,FI1 0,solid biomass,780631.75394
Generator,landscape care,FR0 0,solid biomass,794689.77032
Generator,landscape care,FR0 1,solid biomass,957878.43165
Generator,landscape care,FR0 2,solid biomass,1550036.22741
Generator,landscape care,FR0 3,solid biomass,398877.09915
Generator,landscape care,FR0 4,solid biomass,941869.1884
Generator,landscape care,FR5 0,solid biomass,23761.87847
Generator,landscape care,GB2 0,solid biomass,938345.79635
Generator,landscape care,GB2 1,solid biomass,304765.01301
Generator,landscape care,GB3 0,solid biomass,42147.43259
Generator,landscape care,GR0 0,solid biomass,536467.2314
Generator,landscape care,HR0 0,solid biomass,176725.23164
Generator,landscape care,HU0 0,solid biomass,527646.26688
Generator,landscape care,IE3 0,solid biomass,397316.81904
Generator,landscape care,IT0 0,solid biomass,431517.18935
Generator,landscape care,IT0 1,solid biomass,796482.39685
Generator,landscape care,IT4 0,solid biomass,17819.74537
Generator,landscape care,LT0 0,solid biomass,332875.36799
Generator,landscape care,LU0 0,solid biomass,11114.98561
Generator,landscape care,LV0 0,solid biomass,303399.06045
Generator,landscape care,ME0 0,solid biomass,0.33603
Generator,landscape care,MK0 0,solid biomass,88.97811
Generator,landscape care,NL0 0,solid biomass,236861.65099
Generator,landscape care,NO1 0,solid biomass,219.23318
Generator,landscape care,PL0 0,solid biomass,1824091.32606
Generator,landscape care,PT0 0,solid biomass,509085.59494
Generator,landscape care,RO0 0,solid biomass,1914771.54671
Generator,landscape care,RS0 0,solid biomass,691.84941
Generator,landscape care,SE1 0,solid biomass,2590941.18715
Generator,landscape care,SI0 0,solid biomass,64008.6663
Generator,landscape care,SK0 0,solid biomass,274177.3334
Generator,lignite,EU,lignite,171335.92277
Generator,manure and slurry,AL0 0,biogas,25.21208
Generator,manure and slurry,AT0 0,biogas,25.50372
Generator,manure and slurry,BA0 0,biogas,20.69623
Generator,manure and slurry,BE0 0,biogas,36.99537
Generator,manure and slurry,BG0 0,biogas,25.29188
Generator,manure and slurry,CH0 0,biogas,32.72161
Generator,manure and slurry,CZ0 0,biogas,50.78064
Generator,manure and slurry,DE0 0,biogas,36.15104
Generator,manure and slurry,DE0 1,biogas,31.69686
Generator,manure and slurry,DE0 2,biogas,46.83533
Generator,manure and slurry,DE0 3,biogas,31.57685
Generator,manure and slurry,DE0 4,biogas,28.43155
Generator,manure and slurry,DE0 5,biogas,35.14247
Generator,manure and slurry,DK0 0,biogas,40.32554
Generator,manure and slurry,DK1 0,biogas,30.13307
Generator,manure and slurry,EE0 0,biogas,26.67361
Generator,manure and slurry,ES0 0,biogas,66.12433
Generator,manure and slurry,ES6 0,biogas,22.37733
Generator,manure and slurry,FI1 0,biogas,24.44057
Generator,manure and slurry,FR0 0,biogas,40.04541
Generator,manure and slurry,FR0 1,biogas,51.28228
Generator,manure and slurry,FR0 2,biogas,49.81256
Generator,manure and slurry,FR0 3,biogas,67.67447
Generator,manure and slurry,FR0 4,biogas,51.11352
Generator,manure and slurry,FR5 0,biogas,23.01785
Generator,manure and slurry,GB2 0,biogas,45.32372
Generator,manure and slurry,GB2 1,biogas,44.23148
Generator,manure and slurry,GB3 0,biogas,33.96963
Generator,manure and slurry,GR0 0,biogas,27.70495
Generator,manure and slurry,HR0 0,biogas,23.3223
Generator,manure and slurry,HU0 0,biogas,48.63347
Generator,manure and slurry,IE3 0,biogas,32.53622
Generator,manure and slurry,IT0 0,biogas,27.42377
Generator,manure and slurry,IT0 1,biogas,68.9014
Generator,manure and slurry,IT4 0,biogas,23.26662
Generator,manure and slurry,LT0 0,biogas,30.26584
Generator,manure and slurry,LU0 0,biogas,19.44017
Generator,manure and slurry,LV0 0,biogas,28.11899
Generator,manure and slurry,ME0 0,biogas,23.76532
Generator,manure and slurry,MK0 0,biogas,18.97448
Generator,manure and slurry,NL0 0,biogas,41.93745
Generator,manure and slurry,NO1 0,biogas,60.23213
Generator,manure and slurry,PL0 0,biogas,51.99573
Generator,manure and slurry,PT0 0,biogas,41.88311
Generator,manure and slurry,RO0 0,biogas,39.77106
Generator,manure and slurry,RS0 0,biogas,27.69232
Generator,manure and slurry,SE1 0,biogas,31.78179
Generator,manure and slurry,SI0 0,biogas,20.05385
Generator,manure and slurry,SK0 0,biogas,30.18974
Generator,manure and slurry,XK0 0,biogas,26.23721
Generator,municipal solid waste,AL0 0,municipal solid waste,125782.60381
Generator,municipal solid waste,AT0 0,municipal solid waste,708622.4154
Generator,municipal solid waste,BA0 0,municipal solid waste,46.48977
Generator,municipal solid waste,BE0 0,municipal solid waste,3175807.08628
Generator,municipal solid waste,BG0 0,municipal solid waste,266814.07425
Generator,municipal solid waste,CH0 0,municipal solid waste,6664376.78774
Generator,municipal solid waste,CZ0 0,municipal solid waste,282140.5193
Generator,municipal solid waste,DE0 0,municipal solid waste,1740212.287
Generator,municipal solid waste,DE0 1,municipal solid waste,962183.2115
Generator,municipal solid waste,DE0 2,municipal solid waste,2610701.10932
Generator,municipal solid waste,DE0 3,municipal solid waste,1222998.10996
Generator,municipal solid waste,DE0 4,municipal solid waste,2298434.23296
Generator,municipal solid waste,DE0 5,municipal solid waste,1630294.82114
Generator,municipal solid waste,DK0 0,municipal solid waste,1098605.95067
Generator,municipal solid waste,DK1 0,municipal solid waste,913921.24254
Generator,municipal solid waste,EE0 0,municipal solid waste,241279.3465
Generator,municipal solid waste,ES0 0,municipal solid waste,2508771.61514
Generator,municipal solid waste,ES6 0,municipal solid waste,62715.79452
Generator,municipal solid waste,FI1 0,municipal solid waste,1057063.93879
Generator,municipal solid waste,FR0 0,municipal solid waste,2674055.46057
Generator,municipal solid waste,FR0 1,municipal solid waste,1607770.04257
Generator,municipal solid waste,FR0 2,municipal solid waste,1099659.15115
Generator,municipal solid waste,FR0 3,municipal solid waste,1122060.23318
Generator,municipal solid waste,FR0 4,municipal solid waste,770696.9386
Generator,municipal solid waste,FR5 0,municipal solid waste,36653.37529
Generator,municipal solid waste,GB2 0,municipal solid waste,545466.42609
Generator,municipal solid waste,GB2 1,municipal solid waste,714254.65728
Generator,municipal solid waste,GB3 0,municipal solid waste,42819.2639
Generator,municipal solid waste,GR0 0,municipal solid waste,217410.32705
Generator,municipal solid waste,HR0 0,municipal solid waste,7743.14507
Generator,municipal solid waste,HU0 0,municipal solid waste,827071.27793
Generator,municipal solid waste,IE3 0,municipal solid waste,155393.9148
Generator,municipal solid waste,IT0 0,municipal solid waste,1361989.972
Generator,municipal solid waste,IT0 1,municipal solid waste,1505518.87578
Generator,municipal solid waste,IT4 0,municipal solid waste,79745.27047
Generator,municipal solid waste,LT0 0,municipal solid waste,113082.88038
Generator,municipal solid waste,LU0 0,municipal solid waste,11161.52001
Generator,municipal solid waste,LV0 0,municipal solid waste,63861.65175
Generator,municipal solid waste,ME0 0,municipal solid waste,43.8569
