component,location,carrier,0
Generator,CZ0 0,forest residues,0.00011415525169198407
Generator,CZ0 0,industry wood,0.00011415525163838617
Generator,CZ0 0,landscape care,0.00011415525525567308
Generator,CZ0 0,manure and slurry,0.0001141552515023767
Generator,CZ0 0,municipal solid waste,0.0001102548161109376
Generator,CZ0 0,rural solar thermal,0.02803129074315515
Generator,CZ0 0,sewage sludge,0.00011415530212473962
Generator,CZ0 0,solar-hsat,0.15263636551573517
Generator,CZ0 0,solid biomass,0.138454871
Generator,CZ0 0,straw,0.00011415525201767188
Generator,CZ0 0,unsustainable biogas,0.0001141552511569068
Generator,CZ0 0,unsustainable bioliquids,0.00011415525069464578
Generator,CZ0 0,unsustainable solid biomass,0.00011411204334000619
Generator,CZ0 0,urban central heat vent,0.0743734513774411
Generator,CZ0 0,urban central solar thermal,0.027674750356633384
Generator,CZ0 0,urban decentral heat vent,0.07051218031943089
Generator,CZ0 0,urban decentral solar thermal,0.02132435465768799
Generator,DE0 0,Offshore Wind (AC),0.4800841480508104
Generator,DE0 0,Offshore Wind (DC),0.585172898215647
Generator,DE0 0,Offshore Wind (Floating),0.23180592991913745
Generator,DE0 0,Onshore Wind,0.2619861415870755
Generator,DE0 0,Run of River,0.46842776070944625
Generator,DE0 0,Solar,0.11547727514288082
Generator,DE0 0,forest residues,0.00011415525065951068
Generator,DE0 0,industry wood,0.0001141552516997314
Generator,DE0 0,landscape care,0.00011415524507497174
Generator,DE0 0,manure and slurry,0.00011415525242565738
Generator,DE0 0,municipal solid waste,0.00011350284910357723
Generator,DE0 0,rural solar thermal,0.024112525117213665
Generator,DE0 0,sewage sludge,0.00011415526347688416
Generator,DE0 0,solar-hsat,0.14141092145997805
Generator,DE0 0,solid biomass,0.030732387999999996
Generator,DE0 0,straw,0.00011415525105217622
Generator,DE0 0,unsustainable biogas,0.0001141552516884268
Generator,DE0 0,unsustainable bioliquids,0.00011415525198197388
Generator,DE0 0,unsustainable solid biomass,0.00011410182436768911
Generator,DE0 0,urban central heat vent,0.0024928549090051178
Generator,DE0 0,urban central solar thermal,0.023472495968464433
