component,location,carrier,0
Generator,DE0 3,manure and slurry,804164.67382
Generator,DE0 3,municipal solid waste,1232980.50298
Generator,DE0 3,rural solar thermal,0.02571
Generator,DE0 3,sewage sludge,88266.90681
Generator,DE0 3,solar-hsat,21142.70875
Generator,DE0 3,solid biomass,10000.0
Generator,DE0 3,straw,2929475.44648
Generator,DE0 3,unsustainable biogas,9445333.01316
Generator,DE0 3,unsustainable bioliquids,4452131.53901
Generator,DE0 3,unsustainable solid biomass,15886157.34103
Generator,DE0 3,urban central heat vent,1689.07919
Generator,DE0 3,urban central solar thermal,0.12751
Generator,DE0 3,urban decentral heat vent,1.04345
Generator,DE0 3,urban decentral solar thermal,0.03017
Generator,DE0 4,Onshore Wind,2869.01002
Generator,DE0 4,Run of River,875.13283
Generator,DE0 4,Solar,2214.9094
Generator,DE0 4,forest residues,5868832.66467
Generator,DE0 4,industry wood,5112009.91375
Generator,DE0 4,landscape care,337609.25515
Generator,DE0 4,manure and slurry,623966.32728
Generator,DE0 4,municipal solid waste,2308458.3473
Generator,DE0 4,rural solar thermal,0.01802
Generator,DE0 4,sewage sludge,165649.17131
Generator,DE0 4,solar-hsat,23169.62264
Generator,DE0 4,solid biomass,10000.0
Generator,DE0 4,straw,2421025.09673
Generator,DE0 4,unsustainable biogas,9243486.04078
Generator,DE0 4,unsustainable bioliquids,4356989.39097
Generator,DE0 4,unsustainable solid biomass,15546883.51258
Generator,DE0 4,urban central heat vent,2.66486
Generator,DE0 4,urban central solar thermal,0.10177
Generator,DE0 4,urban decentral heat vent,0.96421
Generator,DE0 4,urban decentral solar thermal,0.02617
Generator,DE0 5,Offshore Wind (AC),2106.97575
Generator,DE0 5,Offshore Wind (DC),256.64971
Generator,DE0 5,Offshore Wind (Floating),0.00493
Generator,DE0 5,Onshore Wind,25916.16581
Generator,DE0 5,Run of River,94.4841
Generator,DE0 5,Solar,10827.9275
Generator,DE0 5,forest residues,6553249.25667
Generator,DE0 5,gas,9400.5768
Generator,DE0 5,industry wood,5078629.71383
Generator,DE0 5,landscape care,336036.12333
Generator,DE0 5,manure and slurry,1943294.29011
Generator,DE0 5,municipal solid waste,1640296.01239
Generator,DE0 5,rural solar thermal,0.02175
Generator,DE0 5,sewage sludge,117568.21773
Generator,DE0 5,solar-hsat,12111.80127
Generator,DE0 5,solid biomass,10000.0
Generator,DE0 5,straw,2978187.09881
Generator,DE0 5,unsustainable biogas,10912893.88381
Generator,DE0 5,unsustainable bioliquids,5143877.82562
Generator,DE0 5,unsustainable solid biomass,18352902.2676
Generator,DE0 5,urban central heat vent,2.39436
Generator,DE0 5,urban central solar thermal,0.08022
Generator,DE0 5,urban decentral heat vent,1.02933
Generator,DE0 5,urban decentral solar thermal,0.0261
Generator,DK0 0,Offshore Wind (AC),1602.60541
Generator,DK0 0,Offshore Wind (DC),0.16228
Generator,DK0 0,Offshore Wind (Floating),0.01425
Generator,DK0 0,Onshore Wind,19616.3947
Generator,DK0 0,Solar,1637.70656
Generator,DK0 0,forest residues,1151203.73801
Generator,DK0 0,gas,7803.4457
Generator,DK0 0,industry wood,776717.86357
Generator,DK0 0,landscape care,201104.03181
Generator,DK0 0,manure and slurry,3079178.88423
Generator,DK0 0,municipal solid waste,1108593.62566
Generator,DK0 0,rural solar thermal,0.0047
Generator,DK0 0,sewage sludge,11217.06484
Generator,DK0 0,solar-hsat,0.26259
Generator,DK0 0,solid biomass,10000.0
Generator,DK0 0,straw,1838330.87776
Generator,DK0 0,unsustainable biogas,2213520.30208
Generator,DK0 0,unsustainable bioliquids,19191.33247
Generator,DK0 0,unsustainable solid biomass,8402207.18288
Generator,DK0 0,urban central heat vent,2.97906
Generator,DK0 0,urban central solar thermal,0.05436
Generator,DK0 0,urban decentral heat vent,1.12835
Generator,DK0 0,urban decentral solar thermal,0.01538
Generator,DK1 0,Offshore Wind (AC),1050.00295
Generator,DK1 0,Offshore Wind (DC),0.01727
Generator,DK1 0,Offshore Wind (Floating),0.01125
Generator,DK1 0,Onshore Wind,6096.875
Generator,DK1 0,Solar,539.00243
Generator,DK1 0,forest residues,300709.38522
Generator,DK1 0,industry wood,250337.69175
Generator,DK1 0,landscape care,66023.14194
Generator,DK1 0,manure and slurry,856484.28394
Generator,DK1 0,municipal solid waste,923908.57
Generator,DK1 0,rural solar thermal,0.00405
Generator,DK1 0,sewage sludge,9327.38014
Generator,DK1 0,solar-hsat,985.78268
Generator,DK1 0,solid biomass,10000.0
Generator,DK1 0,straw,467832.00808
Generator,DK1 0,unsustainable biogas,808089.07112
Generator,DK1 0,unsustainable bioliquids,7006.17293
Generator,DK1 0,unsustainable solid biomass,3073740.09792
Generator,DK1 0,urban central heat vent,4.54696
Generator,DK1 0,urban central solar thermal,0.05936
Generator,DK1 0,urban decentral heat vent,1.12683
Generator,DK1 0,urban decentral solar thermal,0.01788
Generator,EE0 0,Offshore Wind (AC),0.14287
Generator,EE0 0,Offshore Wind (DC),0.09331
Generator,EE0 0,Offshore Wind (Floating),0.0145
Generator,EE0 0,Onshore Wind,3871.60833
Generator,EE0 0,Solar,439.50245
Generator,EE0 0,forest residues,3128550.36379
Generator,EE0 0,industry wood,3604064.69039
Generator,EE0 0,landscape care,198736.31758
Generator,EE0 0,manure and slurry,742465.33626
Generator,EE0 0,municipal solid waste,251250.33091
Generator,EE0 0,rural solar thermal,0.01698
Generator,EE0 0,sewage sludge,0.01816
Generator,EE0 0,solar-hsat,674.05759
Generator,EE0 0,solid biomass,10000.0
Generator,EE0 0,straw,405107.45137
Generator,EE0 0,unsustainable biogas,106517.0766
Generator,EE0 0,unsustainable solid biomass,13543302.7654
Generator,EE0 0,urban central heat vent,601.44108
Generator,EE0 0,urban central solar thermal,0.04825
Generator,EE0 0,urban decentral heat vent,0.929
Generator,EE0 0,urban decentral solar thermal,0.0188
Generator,ES0 0,Offshore Wind (AC),20.00054
Generator,ES0 0,Offshore Wind (Floating),0.01665
Generator,ES0 0,Onshore Wind,30927.87572
Generator,ES0 0,Run of River,130.0
Generator,ES0 0,Solar,36676.15878
Generator,ES0 0,forest residues,10526025.67186
Generator,ES0 0,gas,89810.68912
Generator,ES0 0,industry wood,7089845.54312
Generator,ES0 0,landscape care,2307129.39665
Generator,ES0 0,manure and slurry,9351159.43645
Generator,ES0 0,municipal solid waste,2518753.72505
Generator,ES0 0,rural solar thermal,0.02326
Generator,ES0 0,sewage sludge,115866.50809
Generator,ES0 0,solar-hsat,109163.25153
Generator,ES0 0,solid biomass,10000.0
Generator,ES0 0,straw,8436075.57385
Generator,ES0 0,unsustainable biogas,2216386.51702
Generator,ES0 0,unsustainable bioliquids,15844516.9718
Generator,ES0 0,unsustainable solid biomass,38342153.85853
Generator,ES0 0,urban central heat vent,3.26539
Generator,ES0 0,urban central solar thermal,0.38323
Generator,ES0 0,urban decentral heat vent,1.53022
Generator,ES0 0,urban decentral solar thermal,0.47446
Generator,ES6 0,Offshore Wind (AC),0.01285
Generator,ES6 0,Offshore Wind (Floating),0.00985
Generator,ES6 0,Onshore Wind,0.04648
Generator,ES6 0,Run of River,147.00825
Generator,ES6 0,Solar,270.70175
Generator,ES6 0,forest residues,79392.90962
Generator,ES6 0,industry wood,62172.12043
Generator,ES6 0,landscape care,18133.83118
Generator,ES6 0,manure and slurry,17763.46298
Generator,ES6 0,municipal solid waste,72693.8827
Generator,ES6 0,rural solar thermal,0.07094
Generator,ES6 0,sewage sludge,2895.85504
Generator,ES6 0,solar-hsat,1242.95575
Generator,ES6 0,solid biomass,10000.0
Generator,ES6 0,straw,78436.34714
Generator,ES6 0,unsustainable biogas,17348.04098
Generator,ES6 0,unsustainable bioliquids,124017.7774
Generator,ES6 0,unsustainable solid biomass,310032.40447
Generator,ES6 0,urban central heat vent,50.22135
Generator,ES6 0,urban central solar thermal,0.09839
Generator,ES6 0,urban decentral heat vent,0.90911
Generator,ES6 0,urban decentral solar thermal,0.04523
Generator,EU,co2-ets,1000000000.0
Generator,EU,coal,143327.58657
Generator,EU,lignite,200.89267
Generator,EU,oil primary,994059.48835
Generator,EU,uranium,223518.38738
Generator,FI1 0,Offshore Wind (AC),0.19778
Generator,FI1 0,Offshore Wind (DC),5383.98124
Generator,FI1 0,Offshore Wind (Floating),0.01582
Generator,FI1 0,Onshore Wind,9468.47173
Generator,FI1 0,Run of River,1470.6
Generator,FI1 0,Solar,157.30271
Generator,FI1 0,forest residues,15774307.15861
Generator,FI1 0,gas,7058.67872
Generator,FI1 0,industry wood,15953439.87854
Generator,FI1 0,landscape care,780631.76259
Generator,FI1 0,manure and slurry,343682.31403
Generator,FI1 0,municipal solid waste,1067048.87883
Generator,FI1 0,rural solar thermal,0.00788
Generator,FI1 0,sewage sludge,271998.55527
Generator,FI1 0,solar-hsat,1341.24155
Generator,FI1 0,solid biomass,10000.0
Generator,FI1 0,straw,1274279.52431
Generator,FI1 0,unsustainable biogas,1439350.6644
Generator,FI1 0,unsustainable bioliquids,3128356.7238
Generator,FI1 0,unsustainable solid biomass,66258049.0144
Generator,FI1 0,urban central heat vent,2067.01789
Generator,FI1 0,urban central solar thermal,0.04833
Generator,FI1 0,urban decentral heat vent,1.33687
