component,carrier,bus_carrier,0
Link,urban decentral biomass boiler,solid biomass,-269113176.48321
Load,land transport EV,EV battery,-301350738.14514
Load,heat<100 industry,heat<100 industry,-305810000.0
Link,heat>500 industry gas,gas,-310537322.73969
Load,heat>500 industry,heat>500 industry,-310540000.0
Link,urban decentral oil boiler,oil,-311634358.0863
Link,rural gas boiler,gas,-322261300.89719
Link,BEV charger,low voltage,-334834154.06236
Load,solid biomass for industry,solid biomass for industry,-346680000.0
Link,solid biomass for industry,solid biomass,-346680000.00003
Load,heat100-200 industry,heat100-200 industry,-381730000.0
Link,biomass to liquid,solid biomass,-397814102.75132
Link,urban central gas boiler,gas,-445508220.62233
Load,shipping oil,shipping oil,-491652886.23258
Link,shipping oil,oil,-491652886.23285
Load,urban central heat,urban central heat,-581358582.78462
Load,rural heat,rural heat,-610898079.70233
Link,urban decentral gas boiler,gas,-687245294.99806
Link,kerosene for aviation,oil,-743906976.62339
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Link,naphtha for industry,oil,-853719686.91556
Load,naphtha for industry,naphtha for industry,-853719686.91558
Link,HVC to air,non-sequestered HVC,-908083637.18726
Load,industry electricity,low voltage,-1048810000.0
Link,Combined-Cycle Gas,gas,-1365778392.51516
Load,urban decentral heat,urban decentral heat,-1579131412.24264
Load,electricity,low voltage,-1601392067.89318
Link,nuclear,uranium,-1922031967.28133
Generator,co2-ets,co2,-2205411427.98365
Link,land transport oil,oil,-2526143791.43905
Load,land transport oil,land transport oil,-2526143791.43906
Link,electricity distribution grid,AC,-3545075678.11049
Link,oil refining,oil primary,-5132135143.06225
