cost,component,location,carrier,0
capital,Generator,FI1 0,Offshore Wind (AC),13376.00993
capital,Generator,FI1 0,Offshore Wind (DC),16482.03067
capital,Generator,FI1 0,Offshore Wind (Floating),4227.62167
capital,Generator,FI1 0,Onshore Wind,1095681657.34708
capital,Generator,FI1 0,Run of River,453195348.92122
capital,Generator,FI1 0,Solar,8236189.7305
capital,Generator,FI1 0,rural solar thermal,146.23734
capital,Generator,FI1 0,solar-hsat,7784.36868
capital,Generator,FI1 0,urban central solar thermal,843.40251
capital,Generator,FI1 0,urban decentral solar thermal,314.52996
capital,Generator,FR0 0,Offshore Wind (AC),201908422.10447
capital,Generator,FR0 0,Offshore Wind (DC),9283.73864
capital,Generator,FR0 0,Offshore Wind (Floating),1837.45691
capital,Generator,FR0 0,Onshore Wind,1453048177.25787
capital,Generator,FR0 0,Solar,80758731.52094
capital,Generator,FR0 0,rural solar thermal,216.20318
capital,Generator,FR0 0,solar-hsat,5314.46437
capital,Generator,FR0 0,urban central solar thermal,1093.14162
capital,Generator,FR0 0,urban decentral solar thermal,480.36691
capital,Generator,FR0 1,Offshore Wind (AC),22170347.85794
capital,Generator,FR0 1,Offshore Wind (Floating),3742.25913
capital,Generator,FR0 1,Onshore Wind,135484958.40416
capital,Generator,FR0 1,Run of River,1275325841.55478
capital,Generator,FR0 1,Solar,161606410.01898
capital,Generator,FR0 1,rural solar thermal,546.72196
capital,Generator,FR0 1,solar-hsat,1959283898.84481
capital,Generator,FR0 1,urban central solar thermal,2210.95809
capital,Generator,FR0 1,urban decentral solar thermal,746.4656
capital,Generator,FR0 2,Offshore Wind (AC),4598.73947
capital,Generator,FR0 2,Offshore Wind (DC),3226.81471
capital,Generator,FR0 2,Offshore Wind (Floating),3299.93265
capital,Generator,FR0 2,Onshore Wind,322013919.88796
capital,Generator,FR0 2,Run of River,387114376.07396
capital,Generator,FR0 2,Solar,241433297.41239
capital,Generator,FR0 2,rural solar thermal,701.47435
capital,Generator,FR0 2,solar-hsat,57871697.41258
capital,Generator,FR0 2,urban central solar thermal,1630.23668
capital,Generator,FR0 2,urban decentral solar thermal,729.09409
capital,Generator,FR0 3,Offshore Wind (AC),288773201.37769
capital,Generator,FR0 3,Offshore Wind (DC),8358.80806
capital,Generator,FR0 3,Offshore Wind (Floating),4164.92325
capital,Generator,FR0 3,Onshore Wind,404522854.70422
capital,Generator,FR0 3,Solar,45458235.60358
capital,Generator,FR0 3,rural solar thermal,397.64939
capital,Generator,FR0 3,solar-hsat,8041.83675
capital,Generator,FR0 3,urban central solar thermal,1154.02182
capital,Generator,FR0 3,urban decentral solar thermal,554.11781
capital,Generator,FR0 4,Onshore Wind,410446985.32332
capital,Generator,FR0 4,Run of River,454890285.96669
capital,Generator,FR0 4,Solar,56505986.76178
capital,Generator,FR0 4,rural solar thermal,429.70687
capital,Generator,FR0 4,solar-hsat,6184.24247
capital,Generator,FR0 4,urban central solar thermal,1342.58167
capital,Generator,FR0 4,urban decentral solar thermal,504.20616
capital,Generator,FR5 0,Offshore Wind (AC),1646.58688
capital,Generator,FR5 0,Offshore Wind (Floating),2542.92806
capital,Generator,FR5 0,Onshore Wind,1967269.98871
capital,Generator,FR5 0,Solar,3532.45459
capital,Generator,FR5 0,rural solar thermal,905.29632
capital,Generator,FR5 0,solar-hsat,81897584.44449
capital,Generator,GB2 0,Offshore Wind (AC),1503452254.17939
capital,Generator,GB2 0,Offshore Wind (DC),17616.50275
capital,Generator,GB2 0,Offshore Wind (Floating),4497.23605
capital,Generator,GB2 0,Onshore Wind,1798173382.44258
capital,Generator,GB2 0,Run of River,885889663.85156
capital,Generator,GB2 0,Solar,84832289.1723
capital,Generator,GB2 0,rural solar thermal,152.3399
capital,Generator,GB2 0,solar-hsat,4215.71216
capital,Generator,GB2 0,urban central solar thermal,787.91653
capital,Generator,GB2 0,urban decentral solar thermal,166.87606
capital,Generator,GB2 1,Offshore Wind (AC),3261250406.70717
capital,Generator,GB2 1,Offshore Wind (DC),11287.66975
capital,Generator,GB2 1,Offshore Wind (Floating),3976.60123
capital,Generator,GB2 1,Onshore Wind,1524383277.75432
capital,Generator,GB2 1,Solar,513692686.39236
capital,Generator,GB2 1,rural solar thermal,327.89826
capital,Generator,GB2 1,solar-hsat,5497.70524
capital,Generator,GB2 1,urban central solar thermal,923.66377
capital,Generator,GB2 1,urban decentral solar thermal,335.76461
capital,Generator,GB3 0,Offshore Wind (AC),10279.13097
capital,Generator,GB3 0,Offshore Wind (DC),9537.69656
capital,Generator,GB3 0,Offshore Wind (Floating),4332.48681
capital,Generator,GB3 0,Onshore Wind,159344945.53063
capital,Generator,GB3 0,Run of River,234671738.20448
capital,Generator,GB3 0,Solar,12435336.10896
capital,Generator,GB3 0,rural solar thermal,174.60315
capital,Generator,GB3 0,solar-hsat,3745.16421
capital,Generator,GB3 0,urban central solar thermal,688.48166
capital,Generator,GB3 0,urban decentral solar thermal,177.00247
capital,Generator,GR0 0,Offshore Wind (AC),3515.79461
capital,Generator,GR0 0,Offshore Wind (DC),5600.84223
capital,Generator,GR0 0,Offshore Wind (Floating),3418.29044
capital,Generator,GR0 0,Onshore Wind,581562169.34709
capital,Generator,GR0 0,Run of River,31772365.34325
capital,Generator,GR0 0,Solar,218143856.28643
capital,Generator,GR0 0,rural solar thermal,12052.15084
capital,Generator,GR0 0,solar-hsat,965918321.31497
capital,Generator,GR0 0,urban central solar thermal,2016.43761
capital,Generator,GR0 0,urban decentral solar thermal,1262.75482
capital,Generator,HR0 0,Offshore Wind (AC),3064.79188
capital,Generator,HR0 0,Offshore Wind (DC),3217.11409
capital,Generator,HR0 0,Offshore Wind (Floating),2627.16917
capital,Generator,HR0 0,Onshore Wind,131920821.08643
capital,Generator,HR0 0,Run of River,84182201.03601
capital,Generator,HR0 0,Solar,4256887.89316
capital,Generator,HR0 0,rural solar thermal,938.84126
capital,Generator,HR0 0,solar-hsat,349538854.99165
capital,Generator,HR0 0,urban central solar thermal,2852.45808
capital,Generator,HR0 0,urban decentral solar thermal,1020.73363
capital,Generator,HU0 0,Onshore Wind,36914822.67016
capital,Generator,HU0 0,Run of River,6070956.3265
capital,Generator,HU0 0,Solar,135337905.40478
capital,Generator,HU0 0,rural solar thermal,484.05465
capital,Generator,HU0 0,solar-hsat,824544327.38227
capital,Generator,HU0 0,urban central solar thermal,1780.24935
capital,Generator,HU0 0,urban decentral solar thermal,772.5731
capital,Generator,IE3 0,Offshore Wind (AC),5042496.97093
capital,Generator,IE3 0,Offshore Wind (DC),24692.92605
capital,Generator,IE3 0,Offshore Wind (Floating),4340.03684
capital,Generator,IE3 0,Onshore Wind,550272764.20231
capital,Generator,IE3 0,Run of River,66564800.33115
capital,Generator,IE3 0,Solar,64208001.70447
capital,Generator,IE3 0,rural solar thermal,164.41689
capital,Generator,IE3 0,solar-hsat,4327.41804
capital,Generator,IE3 0,urban central solar thermal,826.49315
capital,Generator,IE3 0,urban decentral solar thermal,240.64606
capital,Generator,IT0 0,Offshore Wind (AC),6051232.42503
capital,Generator,IT0 0,Offshore Wind (DC),2632.05969
capital,Generator,IT0 0,Offshore Wind (Floating),3012.22712
capital,Generator,IT0 0,Onshore Wind,1015582075.47507
capital,Generator,IT0 0,Run of River,543612536.03769
capital,Generator,IT0 0,Solar,194414814.97486
capital,Generator,IT0 0,rural solar thermal,1030.78452
capital,Generator,IT0 0,solar-hsat,2310880222.9695
capital,Generator,IT0 0,urban central solar thermal,1823.50477
capital,Generator,IT0 0,urban decentral solar thermal,1108.5362
capital,Generator,IT0 1,Offshore Wind (AC),2969.0077
capital,Generator,IT0 1,Offshore Wind (DC),2539.59287
capital,Generator,IT0 1,Offshore Wind (Floating),2533.88999
capital,Generator,IT0 1,Onshore Wind,18746651.99487
capital,Generator,IT0 1,Run of River,1762900939.28859
capital,Generator,IT0 1,Solar,72004322.65937
capital,Generator,IT0 1,rural solar thermal,621.66074
capital,Generator,IT0 1,solar-hsat,3173943946.92196
capital,Generator,IT0 1,urban central solar thermal,1673.57436
capital,Generator,IT0 1,urban decentral solar thermal,766.01151
capital,Generator,IT4 0,Offshore Wind (AC),3590.39556
capital,Generator,IT4 0,Offshore Wind (Floating),3047.89753
capital,Generator,IT4 0,Onshore Wind,137128097.59972
capital,Generator,IT4 0,Run of River,18490222.31421
capital,Generator,IT4 0,Solar,22587757.66706
capital,Generator,IT4 0,rural solar thermal,1565.69792
capital,Generator,IT4 0,solar-hsat,191544835.7929
capital,Generator,IT4 0,urban central solar thermal,2162.08185
capital,Generator,IT4 0,urban decentral solar thermal,1546.05513
capital,Generator,LT0 0,Offshore Wind (AC),13546.86411
capital,Generator,LT0 0,Offshore Wind (DC),14334.76377
capital,Generator,LT0 0,Offshore Wind (Floating),3161.77224
capital,Generator,LT0 0,Onshore Wind,138285364.52196
capital,Generator,LT0 0,Run of River,31125207.56225
capital,Generator,LT0 0,Solar,15686879.7528
capital,Generator,LT0 0,rural solar thermal,418.6532
capital,Generator,LT0 0,solar-hsat,13883.61862
capital,Generator,LT0 0,urban central solar thermal,954.79078
capital,Generator,LT0 0,urban decentral solar thermal,487.82872
capital,Generator,LU0 0,Onshore Wind,17138175.96911
capital,Generator,LU0 0,Solar,2832698.24101
capital,Generator,LU0 0,rural solar thermal,426.38934
capital,Generator,LU0 0,solar-hsat,238499166.40986
capital,Generator,LU0 0,urban central solar thermal,927.19132
capital,Generator,LU0 0,urban decentral solar thermal,507.75732
capital,Generator,LV0 0,Offshore Wind (AC),12925.52129
capital,Generator,LV0 0,Offshore Wind (DC),14042.50209
capital,Generator,LV0 0,Offshore Wind (Floating),4306.21317
capital,Generator,LV0 0,Onshore Wind,11572222.12048
capital,Generator,LV0 0,Run of River,473380508.2809
capital,Generator,LV0 0,Solar,2303883.87495
capital,Generator,LV0 0,rural solar thermal,348.8565
capital,Generator,LV0 0,solar-hsat,12188.08075
capital,Generator,LV0 0,urban central solar thermal,945.06001
capital,Generator,LV0 0,urban decentral solar thermal,433.41888
capital,Generator,ME0 0,Offshore Wind (AC),1016.31915
capital,Generator,ME0 0,Offshore Wind (Floating),2176.47571
capital,Generator,ME0 0,Onshore Wind,13654957.43766
capital,Generator,ME0 0,Run of River,1651793.1934
capital,Generator,ME0 0,Solar,167602.36325
capital,Generator,ME0 0,rural solar thermal,592.29178
capital,Generator,ME0 0,solar-hsat,293006787.94655
capital,Generator,ME0 0,urban central solar thermal,2587.81813
capital,Generator,ME0 0,urban decentral solar thermal,596.30807
